Actual Price,Predicted Price
226.57241821289062,193.63124877021428
226.8307647705078,193.41308194587344
227.5461883544922,192.59269227345786
227.06924438476562,192.55959794362388
228.41067504882812,193.37755505988713
231.39163208007812,193.32633389899848
233.56771850585938,194.66446005358014
233.4385223388672,193.40854764411563
235.8233184814453,192.56874986012778
238.0689697265625,192.56874986012778
241.10952758789062,193.63124877021428
241.4672393798828,193.34523366401314
241.4970703125,193.40308967699326
241.29832458496094,193.36463757941837
245.18350219726562,192.69192777996975
246.19703674316406,193.41308194587344
244.9251708984375,192.69192777996975
246.38580322265625,193.41461713264104
246.55474853515625,192.56874986012778
249.44625854492188,192.56874986012778
251.8707733154297,193.7107772863479
246.47528076171875,193.6285433233352
248.2041778564453,194.408692704337
252.87437438964844,194.31264145006455
253.64942932128906,194.28321205139162
256.56085205078125,193.36463757941837
257.3755798339844,192.56874986012778
253.96739196777344,192.56874986012778
250.59890747070312,193.37755505988713
248.8302001953125,192.55959794362388
